__typename,id,leaderboardSortOrder,player_id,player_firstName,player_lastName,player_amateur,player_displayName,player_abbreviations,player_abbreviationsAccessibilityText,player_country,player_countryFlag,player_shortName,player_lineColor,player_tourBound,scoringData_position,scoringData_total,scoringData_totalSort,scoringData_thru,scoringData_thruSort,scoringData_score,scoringData_scoreSort,scoringData_courseId,scoringData_groupNumber,scoringData_currentRound,scoringData_oddsToWin,scoringData_oddsSwing,scoringData_oddsOptionId,scoringData_oddsSort,scoringData_backNine,scoringData_roundHeader,scoringData_rounds_0,scoringData_rounds_1,scoringData_rounds_2,scoringData_rounds_3,scoringData_movementDirection,scoringData_movementAmount,scoringData_playerState,scoringData_rankingMovement,scoringData_rankingMovementAmount,scoringData_rankingMovementAmountSort,scoringData_totalStrokes,scoringData_official,scoringData_officialSort,scoringData_projected,scoringData_projectedSort,scoringData_hasStoryContent,scoringData_storyContentRound,scoringData_storyContentRounds_0,scoringData_roundStatus
PlayerRowV3,50525,0,50525,Collin,Morikawa,False,Collin Morikawa,,,USA,USA,C. Morikawa,#0084FF,False,1,-11,-11,F*,19,-6,-6,671,20,2,+450,UP,807f54bf-ce2a-4d3a-b636-b7dc84859b50,0.1818,True,R2,66,65,-,-,UP,4,COMPLETE,UP,+7,7,131,11,11,4,4,True,1,1,R2 Completed
PlayerRowV3,48081,1,48081,Xander,Schauffele,False,Xander Schauffele,,,USA,USA,X. Schauffele,#0084FF,False,2,-10,-10,4,4,-1,-1,671,30,2,+250,UP,6c17bc85-d026-45ac-95e1-78d25655336b,0.2857,False,R2,62,-,-,-,DOWN,-1,ACTIVE,CONSTANT,-,0,https://res.cloudinary.com/pgatour-prod/temp/standings/profile/Comcast-Light.png,https://res.cloudinary.com/pgatour-prod/temp/standings/profile/Comcast-Light.png,62,2,2,2,2,True,1,1,
PlayerRowV3,33653,2,33653,Thomas,Detry,False,Thomas Detry,,,BEL,BEL,T. Detry,#0084FF,False,T3,-9,-9,F,19,-4,-4,671,7,2,+3500,UP,0b846bf2-4944-460d-ab7b-8c610048683a,0.0278,False,R2,66,67,-,-,UP,2,COMPLETE,UP,+22,22,133,42,42,20,20,True,1,1,R2 Completed
PlayerRowV3,46046,3,46046,Scottie,Scheffler,False,Scottie Scheffler,,,USA,USA,S. Scheffler,#0084FF,False,T3,-9,-9,F*,19,-5,-5,671,22,2,+350,UP,57965fdf-a1ad-4f7a-b34c-67e323c38052,0.2222,True,R2,67,66,-,-,UP,9,COMPLETE,CONSTANT,-,0,https://res.cloudinary.com/pgatour-prod/temp/standings/profile/Comcast-Light.png,https://res.cloudinary.com/pgatour-prod/temp/standings/profile/Comcast-Light.png,133,1,1,1,1,True,1,1,R2 Completed
PlayerRowV3,57362,4,57362,Austin,Eckroat,False,Austin Eckroat,,,USA,USA,A. Eckroat,#0084FF,False,T5,-8,-8,F,19,-4,-4,671,8,2,+5000,UP,b8ac3029-d95b-46bd-aafd-941228468510,0.0196,False,R2,67,67,-,-,UP,7,COMPLETE,UP,+19,19,134,36,36,17,17,True,1,1,R2 Completed
PlayerRowV3,36801,5,36801,Mark,Hubbard,False,Mark Hubbard,,,USA,USA,M. Hubbard,#0084FF,False,T5,-8,-8,16*,16,-2,-2,671,25,2,+6600,UP,667b0f24-7c71-43a9-a845-bb2a5c13d427,0.0149,True,R2,65,-,-,-,DOWN,-3,ACTIVE,UP,+16,16,65,51,51,35,35,True,
PlayerRowV3,34099,6,34099,Harris,English,False,Harris English,,,USA,USA,H. English,#0084FF,False,7,-7,-7,F*,19,-4,-4,671,16,2,+6600,UP,ec55b3d2-854f-42ad-8a97-44015f6495e3,0.0149,True,R2,68,67,-,-,UP,11,COMPLETE,UP,+15,15,135,33,33,18,18,True,R2 Completed
PlayerRowV3,46414,7,46414,Aaron,Rai,False,Aaron Rai,,,ENG,ENG,A. Rai,#0084FF,False,T8,-6,-6,F,19,-3,-3,671,2,2,+10000,UP,cd2d5975-eab0-41c9-b48e-ea13c0aca675,0.0099,False,R2,68,68,-,-,UP,10,COMPLETE,UP,+22,22,136,83,83,61,61,True,R2 Completed
PlayerRowV3,28237,8,28237,Rory,McIlroy,False,Rory McIlroy,,,NIR,NIR,R. McIlroy,#0084FF,False,T8,-6,-6,2,2,-1,-1,671,32,2,+450,UP,1bb8f4ab-c76e-4c27-8fe9-7a2a8d56500a,0.1818,False,R2,66,-,-,-,DOWN,-3,ACTIVE,DOWN,-1,-1,https://res.cloudinary.com/pgatour-prod/temp/standings/profile/Comcast-Light.png,https://res.cloudinary.com/pgatour-prod/temp/standings/profile/Comcast-Light.png,66,4,4,5,5,True,1,1,
PlayerRowV3,52215,9,52215,Robert,MacIntyre,False,Robert MacIntyre,,,SCO,SCO,R. MacIntyre,#0084FF,False,T8,-6,-6,2*,2,-1,-1,671,47,2,+8000,UP,0b0f9700-abae-4db9-81a9-79d34b9982b8,0.0123,True,R2,66,-,-,-,DOWN,-3,ACTIVE,UP,+34,34,66,106,106,72,72,True,1,1,
PlayerRowV3,29725,10,29725,Tony,Finau,False,Tony Finau,,,USA,USA,T. Finau,#0084FF,False,T8,-6,-6,,0,,10000,1715974380000,671,35,2,+2000,UP,5ac3e72b-1f12-4ba5-abfd-315efc8a3d2d,0.0476,False,R2,65,-,-,-,DOWN,-6,ACTIVE,UP,+9,9,65,46,46,37,37,True,1,1,
PlayerRowV3,51634,11,51634,Sahith,Theegala,False,Sahith Theegala,,,USA,USA,S. Theegala,#0084FF,False,T8,-6,-6,,0,,10000,1715974380000,671,35,2,+3000,UP,675b241f-39b1-4acc-a4cf-ad35a15f07e4,0.0323,False,R2,65,-,-,-,DOWN,-6,ACTIVE,DOWN,-1,-1,https://res.cloudinary.com/pgatour-prod/temp/standings/profile/Comcast-Light.png,https://res.cloudinary.com/pgatour-prod/temp/standings/profile/Comcast-Light.png,65,5,5,6,6,True,1,1,
