__typename,id,leaderboardSortOrder,player_id,player_firstName,player_lastName,player_amateur,player_displayName,player_abbreviations,player_abbreviationsAccessibilityText,player_country,player_countryFlag,player_shortName,player_lineColor,player_tourBound,scoringData_position,scoringData_total,scoringData_totalSort,scoringData_thru,scoringData_thruSort,scoringData_score,scoringData_scoreSort,scoringData_courseId,scoringData_groupNumber,scoringData_currentRound,scoringData_backNine,scoringData_roundHeader,scoringData_rounds_0,scoringData_rounds_1,scoringData_rounds_2,scoringData_rounds_3,scoringData_movementDirection,scoringData_movementAmount,scoringData_playerState,scoringData_rankingMovement,scoringData_rankingMovementAmount,scoringData_rankingMovementAmountSort,scoringData_totalStrokes,scoringData_official,scoringData_officialSort,scoringData_projected,scoringData_projectedSort,scoringData_hasStoryContent,scoringData_storyContentRound,scoringData_storyContentRounds_0,scoringData_storyContentRounds_1,scoringData_storyContentRounds_2,scoringData_storyContentRounds_3,scoringData_roundStatus
PlayerRowV3,28237,0,28237,Rory,McIlroy,False,Rory McIlroy,,,NIR,NIR,R. McIlroy,#0084FF,False,1,-17,-17,F,19,-6,-6,872,1,4,False,R4,67,68,67,65,UP,1,COMPLETE,UP,+12,12,267,16,16,4,4,True,4,1,2,3,4,R4 Completed
PlayerRowV3,48081,1,48081,Xander,Schauffele,False,Xander Schauffele,,,USA,USA,X. Schauffele,#0084FF,False,2,-12,-12,F,19,E,0,872,1,4,False,R4,64,67,70,71,DOWN,-1,COMPLETE,UP,+1,1,https://res.cloudinary.com/pgatour-prod/temp/standings/profile/Comcast-Light.png,https://res.cloudinary.com/pgatour-prod/temp/standings/profile/Comcast-Light.png,272,3,3,2,2,True,4,1,2,3,4,R4 Completed
PlayerRowV3,33948,2,33948,Byeong Hun,An,False,Byeong Hun An,,,KOR,KOR,B. An,#0084FF,False,3,-9,-9,F,19,-5,-5,872,4,4,False,R4,70,68,71,66,UP,3,COMPLETE,UP,+2,2,https://res.cloudinary.com/pgatour-prod/temp/standings/profile/Comcast-Light.png,https://res.cloudinary.com/pgatour-prod/temp/standings/profile/Comcast-Light.png,275,8,8,6,6,True,4,1,2,3,4,R4 Completed
PlayerRowV3,28089,3,28089,Jason,Day,False,Jason Day,,,AUS,AUS,J. Day,#0084FF,False,T4,-6,-6,F,19,-1,-1,872,3,4,False,R4,68,67,73,70,UP,1,COMPLETE,UP,+15,15,278,27,27,12,12,True,4,1,2,3,4,R4 Completed
PlayerRowV3,39971,4,39971,Sungjae,Im,False,Sungjae Im,,,KOR,KOR,S. Im,#0084FF,False,T4,-6,-6,F,19,+2,2,872,2,4,False,R4,68,68,69,73,DOWN,-1,COMPLETE,UP,+21,21,278,48,48,27,27,True,4,1,2,3,4,R4 Completed
PlayerRowV3,35506,5,35506,Mackenzie,Hughes,False,Mackenzie Hughes,,,CAN,CAN,M. Hughes,#0084FF,False,T6,-5,-5,F,19,-5,-5,872,12,4,False,R4,73,71,69,66,UP,18,COMPLETE,UP,+19,19,279,59,59,40,40,True,4,1,2,3,4,R4 Completed
PlayerRowV3,47993,6,47993,Denny,McCarthy,False,Denny McCarthy,,,USA,USA,D. McCarthy,#0084FF,False,T6,-5,-5,F,19,-2,-2,872,6,4,False,R4,70,71,69,69,UP,5,COMPLETE,UP,+17,17,279,49,49,32,32,True,4,1,2,3,4,R4 Completed
PlayerRowV3,39977,7,39977,Max,Homa,False,Max Homa,,,USA,USA,M. Homa,#0084FF,False,T8,-4,-4,F,19,-2,-2,872,8,4,False,R4,69,70,72,69,UP,5,COMPLETE,UP,+7,7,280,22,22,15,15,True,4,1,2,3,4,R4 Completed
PlayerRowV3,49960,8,49960,Sepp,Straka,False,Sepp Straka,,,AUT,AUT,S. Straka,#0084FF,False,T8,-4,-4,F,19,+3,3,872,2,4,False,R4,68,71,67,74,DOWN,-4,COMPLETE,UP,+9,9,280,31,31,22,22,True,4,1,2,3,4,R4 Completed
PlayerRowV3,34098,9,34098,Russell,Henley,False,Russell Henley,,,USA,USA,R. Henley,#0084FF,False,T10,-3,-3,F,19,-4,-4,872,15,4,False,R4,68,73,73,67,UP,19,COMPLETE,UP,+7,7,281,26,26,19,19,True,4,1,2,3,4,R4 Completed
PlayerRowV3,34213,10,34213,Grayson,Murray,False,Grayson Murray,,,USA,USA,G. Murray,#0084FF,False,T10,-3,-3,F,19,-1,-1,872,7,4,False,R4,70,69,72,70,UP,3,COMPLETE,UP,+8,8,281,43,43,35,35,True,4,1,2,3,4,R4 Completed
PlayerRowV3,40250,11,40250,Taylor,Pendrith,False,Taylor Pendrith,,,CAN,CAN,T. Pendrith,#0084FF,False,T10,-3,-3,F,19,+1,1,872,4,4,False,R4,71,67,71,72,DOWN,-4,COMPLETE,UP,+4,4,281,34,34,30,30,True,4,1,2,3,4,R4 Completed
PlayerRowV3,39997,12,39997,Corey,Conners,False,Corey Conners,,,CAN,CAN,C. Conners,#0084FF,False,T13,-2,-2,F,19,-1,-1,872,11,4,False,R4,70,68,74,70,UP,5,COMPLETE,UP,+9,9,282,56,56,47,47,True,4,1,2,3,4,R4 Completed
PlayerRowV3,30911,13,30911,Tommy,Fleetwood,False,Tommy Fleetwood,,,ENG,ENG,T. Fleetwood,#0084FF,False,T13,-2,-2,F,19,-1,-1,872,10,4,False,R4,71,70,71,70,UP,5,COMPLETE,UP,+3,3,282,40,40,37,37,True,4,1,2,3,4,R4 Completed
PlayerRowV3,47504,14,47504,Sam,Burns,False,Sam Burns,,,USA,USA,S. Burns,#0084FF,False,T13,-2,-2,F,19,+2,2,872,3,4,False,R4,71,68,70,73,DOWN,-7,COMPLETE,UP,+4,4,282,38,38,34,34,True,4,1,2,3,4,R4 Completed
PlayerRowV3,25900,15,25900,Lucas,Glover,False,Lucas Glover,,,USA,USA,L. Glover,#0084FF,False,T16,-1,-1,F,19,-2,-2,872,16,4,False,R4,71,70,73,69,UP,13,COMPLETE,UP,+14,14,283,74,74,60,60,True,4,1,2,3,4,R4 Completed
PlayerRowV3,37455,16,37455,Si Woo,Kim,False,Si Woo Kim,,,KOR,KOR,S.W. Kim,#0084FF,False,T16,-1,-1,F,19,-1,-1,872,13,4,False,R4,70,73,70,70,UP,8,COMPLETE,UP,+2,2,283,25,25,23,23,True,4,1,2,3,4,R4 Completed
PlayerRowV3,28252,17,28252,Seamus,Power,False,Seamus Power,,,IRL,IRL,S. Power,#0084FF,False,T16,-1,-1,F,19,-1,-1,872,13,4,False,R4,72,71,70,70,UP,8,COMPLETE,UP,+15,15,283,77,77,62,62,True,4,1,2,3,4,R4 Completed
PlayerRowV3,45522,18,45522,Christiaan,Bezuidenhout,False,Christiaan Bezuidenhout,,,RSA,RSA,C. Bezuidenhout,#0084FF,False,T16,-1,-1,F,19,+1,1,872,8,4,False,R4,70,69,72,72,DOWN,-3,COMPLETE,UP,+1,1,283,29,29,28,28,True,4,1,2,3,4,R4 Completed
PlayerRowV3,50525,19,50525,Collin,Morikawa,False,Collin Morikawa,,,USA,USA,C. Morikawa,#0084FF,False,T16,-1,-1,F,19,+3,3,872,5,4,False,R4,67,70,72,74,DOWN,-10,COMPLETE,CONSTANT,-,0,283,11,11,11,11,True,4,1,2,3,4,R4 Completed
PlayerRowV3,33448,20,33448,Justin,Thomas,False,Justin Thomas,,,USA,USA,J. Thomas,#0084FF,False,T21,E,0,F,19,+1,1,872,11,4,False,R4,68,71,73,72,DOWN,-3,COMPLETE,CONSTANT,-,0,284,24,24,24,24,True,4,1,2,3,4,R4 Completed
PlayerRowV3,33141,21,33141,Keegan,Bradley,False,Keegan Bradley,,,USA,USA,K. Bradley,#0084FF,False,T21,E,0,F,19,+1,1,872,10,4,False,R4,70,70,72,72,DOWN,-3,COMPLETE,UP,+3,3,284,53,53,50,50,True,4,1,2,3,4,R4 Completed
PlayerRowV3,36799,22,36799,Stephan,Jaeger,False,Stephan Jaeger,,,GER,GER,S. Jaeger,#0084FF,False,T21,E,0,F,19,+4,4,872,5,4,False,R4,73,65,71,75,DOWN,-15,COMPLETE,DOWN,-1,-1,284,13,13,14,14,True,4,1,2,3,4,R4 Completed
PlayerRowV3,46717,23,46717,Viktor,Hovland,False,Viktor Hovland,,,NOR,NOR,V. Hovland,#0084FF,False,T24,+1,1,F,19,-2,-2,872,22,4,False,R4,72,72,72,69,UP,18,COMPLETE,UP,+17,17,285,106,106,89,89,True,4,1,2,3,4,R4 Completed
PlayerRowV3,29221,24,29221,Webb,Simpson,False,Webb Simpson,,,USA,USA,W. Simpson,#0084FF,False,T24,+1,1,F,19,E,0,872,15,4,False,R4,70,73,71,71,UP,5,COMPLETE,UP,+26,26,285,155,155,129,129,True,4,1,2,3,4,R4 Completed
PlayerRowV3,59866,25,59866,Nick,Dunlap,False,Nick Dunlap,,,USA,USA,N. Dunlap,#0084FF,False,T24,+1,1,F,19,+1,1,872,14,4,False,R4,69,72,72,72,CONSTANT,0,COMPLETE,UP,+26,26,285,144,144,118,118,True,4,1,2,3,4,R4 Completed
PlayerRowV3,27349,26,27349,Alex,Noren,False,Alex Noren,,,SWE,SWE,A. Noren,#0084FF,False,T24,+1,1,F,19,+2,2,872,9,4,False,R4,67,75,70,73,DOWN,-6,COMPLETE,UP,+2,2,285,47,47,45,45,True,4,1,2,3,4,R4 Completed
PlayerRowV3,54628,27,54628,Lee,Hodges,False,Lee Hodges,,,USA,USA,L. Hodges,#0084FF,False,T24,+1,1,F,19,+4,4,872,6,4,False,R4,68,70,72,75,DOWN,-13,COMPLETE,UP,+11,11,285,89,89,78,78,True,4,1,2,3,4,R4 Completed
PlayerRowV3,35450,28,35450,Patrick,Cantlay,False,Patrick Cantlay,,,USA,USA,P. Cantlay,#0084FF,False,T29,+2,2,F,19,-2,-2,872,24,4,False,R4,73,72,72,69,UP,17,COMPLETE,DOWN,-3,-3,https://res.cloudinary.com/pgatour-prod/temp/standings/profile/Comcast-Light.png,https://res.cloudinary.com/pgatour-prod/temp/standings/profile/Comcast-Light.png,286,10,10,13,13,True,4,1,2,3,4,R4 Completed
PlayerRowV3,34046,29,34046,Jordan,Spieth,False,Jordan Spieth,,,USA,USA,J. Spieth,#0084FF,False,T29,+2,2,F,19,-1,-1,872,23,4,False,R4,69,71,76,70,UP,13,COMPLETE,DOWN,-3,-3,286,46,46,49,49,True,4,1,2,3,4,R4 Completed
PlayerRowV3,24502,30,24502,Adam,Scott,False,Adam Scott,,,AUS,AUS,A. Scott,#0084FF,False,T29,+2,2,F,19,E,0,872,20,4,False,R4,71,71,73,71,UP,5,COMPLETE,UP,+4,4,286,65,65,61,61,True,4,1,2,3,4,R4 Completed
PlayerRowV3,36699,31,36699,Patrick,Rodgers,False,Patrick Rodgers,,,USA,USA,P. Rodgers,#0084FF,False,T29,+2,2,F,19,+1,1,872,16,4,False,R4,70,70,74,72,CONSTANT,0,COMPLETE,DOWN,-4,-4,286,39,39,43,43,True,4,1,2,3,4,R4 Completed
PlayerRowV3,34256,32,34256,Andrew,Putnam,False,Andrew Putnam,,,USA,USA,A. Putnam,#0084FF,False,T29,+2,2,F,19,+2,2,872,14,4,False,R4,70,71,72,73,DOWN,-5,COMPLETE,CONSTANT,-,0,286,58,58,58,58,True,4,1,2,3,4,R4 Completed
PlayerRowV3,23108,33,23108,Matt,Kuchar,False,Matt Kuchar,,,USA,USA,M. Kuchar,#0084FF,False,T34,+3,3,F,19,E,0,872,22,4,False,R4,69,72,75,71,UP,8,COMPLETE,UP,+16,16,287,196,196,180,180,True,4,1,2,3,4,R4 Completed
PlayerRowV3,34099,34,34099,Harris,English,False,Harris English,,,USA,USA,H. English,#0084FF,False,T34,+3,3,F,19,E,0,872,21,4,False,R4,71,73,72,71,UP,8,COMPLETE,DOWN,-5,-5,287,28,28,33,33,True,4,1,2,3,4,R4 Completed
PlayerRowV3,48117,35,48117,Kurt,Kitayama,False,Kurt Kitayama,,,USA,USA,K. Kitayama,#0084FF,False,T34,+3,3,F,19,+1,1,872,17,4,False,R4,70,75,70,72,CONSTANT,0,COMPLETE,UP,+1,1,287,73,73,72,72,True,4,1,2,3,4,R4 Completed
PlayerRowV3,57366,36,57366,Cameron,Young,False,Cameron Young,,,USA,USA,Cam. Young,#0084FF,False,T34,+3,3,F,19,+5,5,872,7,4,False,R4,71,69,71,76,DOWN,-21,COMPLETE,DOWN,-8,-8,287,23,23,31,31,True,4,1,2,3,4,R4 Completed
PlayerRowV3,31323,37,31323,Gary,Woodland,False,Gary Woodland,,,USA,USA,G. Woodland,#0084FF,False,T38,+4,4,F,19,-4,-4,872,30,4,False,R4,70,76,75,67,UP,21,COMPLETE,UP,+11,11,288,168,168,157,157,True,4,1,2,3,4,R4 Completed
PlayerRowV3,35532,38,35532,Tom,Hoge,False,Tom Hoge,,,USA,USA,T. Hoge,#0084FF,False,T38,+4,4,F,19,+2,2,872,18,4,False,R4,70,73,72,73,DOWN,-4,COMPLETE,DOWN,-6,-6,288,19,19,25,25,True,4,1,2,3,4,R4 Completed
PlayerRowV3,49947,39,49947,Taylor,Moore,False,Taylor Moore,,,USA,USA,T. Moore,#0084FF,False,T38,+4,4,F,19,+5,5,872,12,4,False,R4,68,68,76,76,DOWN,-20,COMPLETE,DOWN,-1,-1,288,55,55,56,56,True,4,1,2,3,4,R4 Completed
PlayerRowV3,45157,40,45157,Cam,Davis,False,Cam Davis,,,AUS,AUS,C. Davis,#0084FF,False,T38,+4,4,F,19,+6,6,872,9,4,False,R4,70,69,72,77,DOWN,-25,COMPLETE,CONSTANT,-,0,288,63,63,63,63,True,4,1,2,3,4,R4 Completed
PlayerRowV3,56630,41,56630,Akshay,Bhatia,False,Akshay Bhatia,,,USA,USA,A. Bhatia,#0084FF,False,42,+5,5,F,19,+3,3,872,18,4,False,R4,74,70,71,74,DOWN,-8,COMPLETE,DOWN,-3,-3,289,18,18,21,21,True,4,1,2,3,4,R4 Completed
PlayerRowV3,30926,42,30926,Chris,Kirk,False,Chris Kirk,,,USA,USA,C. Kirk,#0084FF,False,T43,+6,6,F,19,E,0,872,28,4,False,R4,73,72,74,71,UP,10,COMPLETE,DOWN,-2,-2,https://res.cloudinary.com/pgatour-prod/temp/standings/profile/Comcast-Light.png,https://res.cloudinary.com/pgatour-prod/temp/standings/profile/Comcast-Light.png,290,7,7,9,9,True,4,1,2,3,4,R4 Completed
PlayerRowV3,32102,43,32102,Rickie,Fowler,False,Rickie Fowler,,,USA,USA,R. Fowler,#0084FF,False,T43,+6,6,F,19,E,0,872,27,4,False,R4,71,75,73,71,UP,10,COMPLETE,UP,+3,3,290,107,107,104,104,True,4,1,2,3,4,R4 Completed
PlayerRowV3,32333,44,32333,Kevin,Tway,False,Kevin Tway,,,USA,USA,K. Tway,#0084FF,False,T43,+6,6,F,19,+1,1,872,26,4,False,R4,73,71,74,72,UP,5,COMPLETE,UP,+4,4,290,103,103,99,99,True,4,1,2,3,4,R4 Completed
PlayerRowV3,25493,45,25493,Nick,Taylor,False,Nick Taylor,,,CAN,CAN,N. Taylor,#0084FF,False,T43,+6,6,F,19,+4,4,872,21,4,False,R4,71,69,75,75,DOWN,-9,COMPLETE,DOWN,-8,-8,290,21,21,29,29,True,4,1,2,3,4,R4 Completed
PlayerRowV3,27644,46,27644,Brian,Harman,False,Brian Harman,,,USA,USA,B. Harman,#0084FF,False,T47,+7,7,F,19,-1,-1,872,30,4,False,R4,74,71,76,70,UP,12,COMPLETE,DOWN,-2,-2,291,15,15,17,17,True,4,1,2,3,4,R4 Completed
PlayerRowV3,33204,47,33204,Shane,Lowry,False,Shane Lowry,,,IRL,IRL,S. Lowry,#0084FF,False,T47,+7,7,F,19,+1,1,872,27,4,False,R4,75,71,73,72,UP,6,COMPLETE,DOWN,-4,-4,291,12,12,16,16,True,4,1,2,3,4,R4 Completed
PlayerRowV3,51766,48,51766,Wyndham,Clark,False,Wyndham Clark,,,USA,USA,W. Clark,#0084FF,False,T47,+7,7,F,19,+2,2,872,24,4,False,R4,73,73,72,73,UP,1,COMPLETE,DOWN,-1,-1,https://res.cloudinary.com/pgatour-prod/temp/standings/profile/Comcast-Light.png,https://res.cloudinary.com/pgatour-prod/temp/standings/profile/Comcast-Light.png,291,2,2,3,3,True,4,1,2,3,4,R4 Completed
PlayerRowV3,55182,49,55182,Tom,Kim,False,Tom Kim,,,KOR,KOR,T. Kim,#0084FF,False,T47,+7,7,F,19,+5,5,872,19,4,False,R4,73,69,73,76,DOWN,-13,COMPLETE,UP,+2,2,291,84,84,82,82,True,4,1,2,3,4,R4 Completed
PlayerRowV3,40115,50,40115,Adam,Svensson,False,Adam Svensson,,,CAN,CAN,A. Svensson,#0084FF,False,T47,+7,7,F,19,+5,5,872,19,4,False,R4,72,70,73,76,DOWN,-13,COMPLETE,UP,+1,1,291,94,94,93,93,True,4,1,2,3,4,R4 Completed
PlayerRowV3,40098,51,40098,Matt,Fitzpatrick,False,Matt Fitzpatrick,,,ENG,ENG,M. Fitzpatrick,#0084FF,False,T52,+8,8,F,19,-4,-4,872,33,4,False,R4,74,73,78,67,UP,14,COMPLETE,DOWN,-5,-5,292,33,33,38,38,True,4,1,2,3,4,R4 Completed
PlayerRowV3,22405,52,22405,Justin,Rose,False,Justin Rose,,,ENG,ENG,J. Rose,#0084FF,False,T52,+8,8,F,19,E,0,872,31,4,False,R4,74,68,79,71,UP,7,COMPLETE,UP,+7,7,292,115,115,108,108,True,4,1,2,3,4,R4 Completed
PlayerRowV3,33399,53,33399,Adam,Hadwin,False,Adam Hadwin,,,CAN,CAN,A. Hadwin,#0084FF,False,T52,+8,8,F,19,E,0,872,31,4,False,R4,71,71,79,71,UP,7,COMPLETE,DOWN,-6,-6,292,35,35,41,41,True,4,1,2,3,4,R4 Completed
PlayerRowV3,51634,54,51634,Sahith,Theegala,False,Sahith Theegala,,,USA,USA,S. Theegala,#0084FF,False,T52,+8,8,F,19,+1,1,872,29,4,False,R4,73,65,82,72,UP,4,COMPLETE,DOWN,-1,-1,https://res.cloudinary.com/pgatour-prod/temp/standings/profile/Comcast-Light.png,https://res.cloudinary.com/pgatour-prod/temp/standings/profile/Comcast-Light.png,292,4,4,5,5,True,4,1,2,3,4,R4 Completed
PlayerRowV3,29420,55,29420,Billy,Horschel,False,Billy Horschel,,,USA,USA,B. Horschel,#0084FF,False,T52,+8,8,F,19,+1,1,872,28,4,False,R4,76,72,72,72,UP,4,COMPLETE,DOWN,-3,-3,292,50,50,53,53,True,4,1,2,3,4,R4 Completed
PlayerRowV3,29725,56,29725,Tony,Finau,False,Tony Finau,,,USA,USA,T. Finau,#0084FF,False,T52,+8,8,F,19,+3,3,872,25,4,False,R4,72,73,73,74,DOWN,-4,COMPLETE,DOWN,-5,-5,292,41,41,46,46,True,4,1,2,3,4,R4 Completed
PlayerRowV3,47420,57,47420,Jake,Knapp,False,Jake Knapp,,,USA,USA,J. Knapp,#0084FF,False,T58,+9,9,F,19,+5,5,872,23,4,False,R4,71,75,71,76,DOWN,-12,COMPLETE,DOWN,-6,-6,293,20,20,26,26,True,4,1,2,3,4,R4 Completed
PlayerRowV3,36884,58,36884,Ben,Kohles,False,Ben Kohles,,,USA,USA,B. Kohles,#0084FF,False,T58,+9,9,F,19,+7,7,872,20,4,False,R4,71,71,73,78,DOWN,-24,COMPLETE,DOWN,-3,-3,293,70,70,73,73,True,4,1,2,3,4,R4 Completed
PlayerRowV3,49771,59,49771,J.T.,Poston,False,J.T. Poston,,,USA,USA,J.T. Poston,#0084FF,False,T60,+10,10,F,19,+1,1,872,32,4,False,R4,73,77,72,72,UP,3,COMPLETE,DOWN,-4,-4,294,14,14,18,18,True,4,1,2,3,4,R4 Completed
